,id,parentId,proposalId,page,userId,userType,date,time,text,numVotes,numPositiveVotes,numNegativeVotes
68,18024,-1,7,2,12361,,2015-09-15,0 days 20:17:05,"Es una de las prioridades que deseamos tener los ciudadanos de Madrid, entre comillas, porque parece que se confirma y cada vez a una escala mayor que hay ciudadanos de primera y ciudadanos de segunda. Ejemplos muchos pero aquí va uno muy significativo: El barrio de Salamanca, barrio del Retiro, Puerta del Sol, y alrededores solo 100 metros a la redonda de la Asamblea de Madrid, están impolutos de limpios, pero una calle como es García Miranda, con solo cincuenta metros de longitus, tres papeleras, dos colegios especiales y seis portales de vecinos esta abandonada, papeleras llenas, toda clase de basura debajo de los coches, árboles que se están secando, alcantarillas que no nos dejan dormir por la noche, solares ocupados por camiones de muy dudosa identidad y todo esto a tan solo 300 metros de la puerta principal de La Asamblea de Madrid, y cosa curiosa, por mi calle pasan todos los coches oficiales de los diputados de La Asamblea de Madrid, pero claro como van con cristales tintados.",2,2,0
69,18032,17886,72,3,10573,,2015-09-15,0 days 20:22:01,"En cualquier ciudad grande como es Madrid hay comercios abiertos todos los días y a todas horas, no todos tenemos la suerte de poder ir a comprar cuando queremos.",6,2,4
70,18052,17844,7,8,12335,,2015-09-15,0 days 20:33:53,Si para ti la limpieza no es prioritaria me imagino que tampoco lo será para ti la sanidad pública.,3,3,0
71,18054,-1,86,1,9504,,2015-09-15,0 days 20:34:29,"Muy importante esta propuesta. Soy de Gijón y allí el Ayuntamiento hace años que instaló contenedores a la entrada de muchos supermercados, con lo que es muy fácil reciclar el aceite: .",7,7,0
72,18078,-1,19,2,12443,,2015-09-15,0 days 20:47:48,"Totalmente de acuerdo con tu propuesta. Sin embargo, tengo entendido que una vez acabadas las obras del Museo de Colecciones Reales 2016 se reabrirá un acceso al Campo del Moro desde la Explanada de La Almudena.",0,0,0
73,18101,17844,7,8,12515,,2015-09-15,0 days 21:02:06,"La higiene pública es una de las máximas de cualquier sociedad civilizada y su ausencia una puerta abierta a otro males. Madrid se encuentra en un estado antihigienico, con evidentes problemas de salubridad en muchos casos Alguien se ha parado a ver el estado de los puntos de recogida en el distrito Centro? por ejemplo.",1,1,0
74,18124,-1,7,2,12443,,2015-09-15,0 days 21:27:04,"Hola, incluyo aquí esta otra propuesta relacionada: Plan integral anti grafitis ¡Gracias!.",2,2,0
75,18154,-1,89,1,12676,,2015-09-15,0 days 21:55:12,Creo que la mejor solución para eso es fomentar el reciclaje de este tipo de cosas regalándolo. La página puede ayudaros avaluar lo que os supone un trasto. 3.,2,2,0
76,18270,-1,507,1,3044,,2015-09-15,0 days 23:13:11,"Ya hay una propuesta como esta. Unid los votos, por favor.",3,2,1
77,18273,-1,86,5,12443,,2015-09-15,0 days 23:14:33,Plan anti grafitis. Acabemos con esta lacra: .,2,0,2
78,18279,-1,50,6,12443,,2015-09-15,0 days 23:17:07,Plan anti grafitis. Acabemos con esta lacra: .,5,1,4
79,18313,17844,7,8,11444,,2015-09-15,0 days 23:54:25,"Rober, leo estupefacto tu opinión e intuyo que eres uno de los que ensucia Madrid. Si la basura no te parece un problema, creo que tienes un serio problema sobre el concepto de una metropoli y capital de un país tan importante como es España.",1,1,0
80,18314,18101,7,8,11444,,2015-09-15,0 days 23:57:09,"Por supuesto. Y el problema añadido es que en Madrid llueve poco, un tanto en otoño, algunas gotas en invierno y otro chubasco en primavera, el verano nada de nada, por eso se requiere tanta limpieza. Necesitamos muchos camiones con mangueras de agua, barrer no es suficiente. Las calles apestan.",2,2,0
81,18315,-1,494,1,7746,,2015-09-15,0 days 23:58:03,"Por supuesto que hay que poner multas, la sanción es el único método disuasorio eficaz, y trabajos sociales que consistan en limpiar su propia pintada, y costeando ellos los productos de limpieza, para que se den cuenta de lo que cuest, tanto en dinero como en trabajo, la limpieza de las mismas. Las pintadas no so arte, si saben pintar, que pinten cuadros, o las paredes de su casa, pero que no ensucien lo de todos.",7,6,1
82,18316,17796,7,3,11444,,2015-09-15,0 days 23:58:42,"Me parece Sergio, que aunque tu causa sea noble y justa, caes mal convirtiendo estas páginas en propaganda personal. Lo que haces está prohibido por las normas de conducta de cualquier red, te van a banear.",3,2,1
83,18320,17629,7,1,11444,,2015-09-16,0 days 00:03:05,"La única basura aceptable en un pueblo culto, es el polvo del ambiente, hojas de árboles, alguna rama y nada más. Todo lo demás proviene de la mano del hombre y no siempre de la mano Los papeles, latas, maderas, vidrios, botellas, plásticos, colillas, heces, vómitos, orines, etc. No llegaron solos a las calles, siempre hay un ciudadano sucio, resentido social, mal educado que expresa su mala conducta arrojando basura-.",5,5,0
84,18322,-1,72,2,9550,,2015-09-16,0 days 00:03:29,"Esto dejará de ser un problema cuando se racionalicen los horarios estilo español de 9 a 21h, llegue la conciliación laboral y familiar de verdad y los salarios sean europeos y no bananeros.",0,0,0
85,18324,18315,494,1,7746,,2015-09-16,0 days 00:04:31,"Por supuesto que hay que poner multas, la sanción es el único método disuasorio eficaz, y trabajos sociales que consistan en limpiar su propia pintada, y costeando ellos los productos de limpieza, para que se den cuenta de lo que cuest, tanto en dinero como en trabajo, la limpieza de las mismas. Las pintadas no so arte, si saben pintar, que pinten cuadros, o las paredes de su casa, pero que no ensucien lo de todos.",4,3,1
86,18340,-1,72,1,784,,2015-09-16,0 days 00:23:23,"El problema no es que el centro comercial habrá todos los días del año, sino que lo hacen con la misma cantidad de trabajadores que cuando no abrian domingos y festivos, lo que deberían es hacer más inspecciones de trabajo para que las empresas cumplan las leyes de trabajo y adi tengan que contratar empleados extra para cubrir esos días.",12,11,1
87,18386,-1,19,1,13019,,2015-09-16,0 days 01:09:57,Aprovechar la reforma de Plaza España para unirlo peatonal mente con Madrid Río.,1,1,0
88,18387,-1,507,3,6368,,2015-09-16,0 days 01:10:11,Completamente de acuerdo. : .,0,0,0
89,18414,17333,7,1,13072,,2015-09-16,0 days 01:26:23,La normativa ya existe ¿Por qué no se hace cumplir? ¿Por qué se hace la vista gorda?.,1,1,0
90,18442,-1,72,1,13154,,2015-09-16,0 days 02:23:13,"Siempre sale el discurso solidario del -yo es que no puedo ir a comprar cuando quiero- inaudito El problema no es que se abra o se cierre, la cuestión es que no se pagan esos domingos y festivos y se amplió la apertura para el comercio con el fin de fomentar el empleo y la realidad es bien distinta. Si quieren abrir que lo hagan pero pagando a trabajadores de fin de semana fomentando así el empleo y evitando la precariedad del resto. De todos modos los domingos son para vivir y quiero creer que la mayoría los aprovecha y no va de compras, a veces tan necesarias como un DVD.",6,6,0
91,18460,-1,72,2,13000,,2015-09-16,0 days 03:13:53,"Es increíble que a los trabajadores nos obliguen a trabajar en festivos, y si no te echan a la calle.",2,1,1
92,18480,-1,89,1,13200,,2015-09-16,0 days 06:48:46,"A mí me parece un atraso volver a el sistema anterior, ¿No es mejor llamar y concertar cita para que vengan a recogerlos, que esperar a un día concreto del mes? He utilizado este servicio y me ha parecido eficiente.",8,8,0
93,18483,17834,89,1,13200,,2015-09-16,0 days 07:17:11,Puedes solicitarlo también a través de la web del ayuntamiento y en las oficinas gratis.,3,3,0
94,18522,18032,72,3,10074,Autor,2015-09-16,0 days 08:52:54,"Me gustaría saber como hacías la compra antes de que no se abrieran los domingos, seguro que te apañabas, y todo es organizarse. Antes se abría un domingo al mes y todos nos apañábamos. La cosa es que pueden abrir todos los días que quieran, la cosa es que contraten a gente para que haga este servicio, como estudiantes o gente joven que se quiere incorporar al mundo laboral. Lo que no es normal que de la noche a la mañana te impongan trabajar por festivos al mes y si no a la calle. Es una pena.",3,3,0
95,18534,-1,417,1,1587,,2015-09-16,0 days 09:07:55,Creo que no es necesario que sea gratuito. Mucho 91 resulta incluido en las tarifas planas de fijo y existe uno para el 010 que es el 91 529 82 10 y de la policia municipal en vez del 092 creo que es el 917131440.,5,5,0
96,18538,-1,7,2,13394,,2015-09-16,0 days 09:12:41,"Espero que con el cambio de gobierno mejore la limpieza en Madrid. Tengo dos contenedores de vidrio y cartón en la puerta de casa y la gente los usa de basurero colchones, muebles, maderas, ladrillos y lo peor, bolsas de basura orgánica he presentado varias reclamaciones al ayuntamiento y siempre me decían que lo limpian 3 veces al día, pero no es cierto. Pueden pasar tres días isn que retiren los desperdicios. También pido que por favor, multan a los que dejan la basura en la calle sin más. Gracias.",2,2,0
97,18539,-1,61,1,7412,,2015-09-16,0 days 09:14:20,"Incluso propondría dentro de esta propuesta que se abasteciera con energías renovables, preferentemente pequeñas placas solares en cada farola.",1,1,0
